Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,1,1,0,0.0548299319727891,0.0361917104663163,0.185647425897036,0.743589743589744,1,0,0
0,1,0,1,1,0.0352504638218924,0,0.0889235569422777,0.743589743589744,1,2,1
0,1,0,0,0,0.0300927643784787,0.0565915472676219,0.173166926677067,0.743589743589744,1,2,1
0,0,0,1,0,0.0723562152133581,0,0.205928237129485,0.743589743589744,1,2,1
0,1,2,1,1,0.0651453308596166,0.100703194374445,0.402496099843994,0.743589743589744,1,2,1
0,1,0,0,0,0.0270006184291899,0.0363837089303286,0.134165366614665,0.743589743589744,1,2,1
0,1,0,1,0,0.03569573283859,0.0600955192358461,0.232449297971919,0.743589743589744,0,1,0
0,1,2,1,0,0.0476932591218305,0.0366237070103439,0.24804992199688,0.743589743589744,1,2,1
0,1,1,1,0,0.156969696969697,0.263229894160847,0.530421216848674,0.743589743589744,1,1,0
0,1,2,1,0,0.0377241805813234,0.0167998656010752,0.0951638065522621,0.743589743589744,1,2,1
0,1,2,1,0,0.0290661719233148,0.0441596467228262,0.15600624024961,0.743589743589744,1,2,1
0,1,2,1,0,0.0361533704390847,0.194542443660451,0.297971918876755,0.743589743589744,1,2,1
0,0,0,1,0,0.0210636982065553,0.0681594547243622,0.16380655226209,0.743589743589744,1,0,0
0,1,2,1,0,0.0142115027829314,0.0260637914896681,0.0124804992199688,0.230769230769231,1,2,1
0,0,0,1,0,0.0593692022263451,0,0.180967238689548,0.743589743589744,1,2,1
0,0,1,0,0,0.0426221397649969,0,0.141965678627145,0.487179487179487,1,2,1
1,0,0,1,0,0.0415584415584416,0,0.104524180967239,0.743589743589744,0,2,0
0,1,0,0,0,0.0585899814471243,0,0.193447737909516,0.743589743589744,1,0,0
0,1,0,0,0,0.0928880643166358,0,0.148205928237129,0.743589743589744,0,2,0
0,1,1,1,0,0.0717996289424861,0.13499892000864,0.477379095163807,0.743589743589744,1,2,1
0,1,0,0,0,0.0303030303030303,0.0458636330909353,0.166926677067083,0.743589743589744,0,1,0
0,1,1,1,0,0.0441187384044527,0.0701994384044928,0.221528861154446,0.743589743589744,1,1,0
0,1,0,1,1,0.116388373531231,0,0.28393135725429,0.743589743589744,1,1,1
0,1,0,1,0,0.0327643784786642,0.0540715674274606,0.176287051482059,0.743589743589744,1,1,1
0,1,2,0,0,0.0504143475572047,0.0249598003215974,0.157566302652106,0.743589743589744,1,2,1
0,0,0,0,0,0.0159802102659246,0,0.0405616224648986,0.743589743589744,1,2,0
1,0,2,1,0,0.0445269016697588,0.0499916000671995,0.173166926677067,0.743589743589744,1,1,1
0,1,1,1,0,0.0496722325293754,0.0808553531571747,0.299531981279251,0.743589743589744,1,2,0
0,0,0,1,0,0.0373160173160173,0,0.101404056162246,0.743589743589744,1,2,0
0,0,1,1,1,0.056178107606679,0,0.151326053042122,0.743589743589744,1,0,0
0,1,0,1,0,0.04143475572047,0.0400076799385605,0.16380655226209,0.743589743589744,1,1,1
